cum_buys_sol,entry_price_sol,tokens_for_1sol,eff_cost_sol,price_after_sol,nav_sol,redeem_price_after_fees_sol,backing_pct,pool_sol,instant_roundtrip_sol,instant_pnl_pct
127,1.593607135e-05,60853.6514,1.643286766e-05,1.594778425e-05,1.491261476e-05,1.401785787e-05,93.50900742,127,0.8530378362,-14.69621638
128,1.594778425e-05,60809.0715,1.64449148e-05,1.595941389e-05,1.492347832e-05,1.402806962e-05,93.50893724,128,0.8530338884,-14.69661116
129,1.595941389e-05,60764.87222,1.645687654e-05,1.597096151e-05,1.493426534e-05,1.403820942e-05,93.50886815,129,0.8530300018,-14.69699982
130,1.597096151e-05,60721.04741,1.646875412e-05,1.598242832e-05,1.494497696e-05,1.404827834e-05,93.50880012,130,0.8530261751,-14.69738249
131,1.598242832e-05,60677.59104,1.64805488e-05,1.59938155e-05,1.495561426e-05,1.40582774e-05,93.50873312,131,0.8530224068,-14.69775932
132,1.59938155e-05,60634.49721,1.649226177e-05,1.600512421e-05,1.496617832e-05,1.406820762e-05,93.50866714,132,0.8530186957,-14.69813043
133,1.600512421e-05,60591.76018,1.650389421e-05,1.601635556e-05,1.49766702e-05,1.407806999e-05,93.50860215,133,0.8530150405,-14.69849595
134,1.601635556e-05,60549.37434,1.651544729e-05,1.602751067e-05,1.498709092e-05,1.408786547e-05,93.50853812,134,0.8530114399,-14.69885601
135,1.602751067e-05,60507.33419,1.652692212e-05,1.603859061e-05,1.49974415e-05,1.409759501e-05,93.50847504,135,0.8530078926,-14.69921074
136,1.603859061e-05,60465.63439,1.653831983e-05,1.604959645e-05,1.500772292e-05,1.410725954e-05,93.50841289,136,0.8530043976,-14.69956024
137,1.604959645e-05,60424.26969,1.654964148e-05,1.606052921e-05,1.501793613e-05,1.411685996e-05,93.50835164,137,0.8530009536,-14.69990464
138,1.606052921e-05,60383.23498,1.656088814e-05,1.607138992e-05,1.502808209e-05,1.412639717e-05,93.50829127,138,0.8529975596,-14.70024404
139,1.607138992e-05,60342.52524,1.657206085e-05,1.608217955e-05,1.503816173e-05,1.413587202e-05,93.50823177,139,0.8529942145,-14.70057855
140,1.608217955e-05,60302.1356,1.658316061e-05,1.609289909e-05,1.504817594e-05,1.414528538e-05,93.50817312,140,0.8529909172,-14.70090828
141,1.609289909e-05,60262.06126,1.659418843e-05,1.610354947e-05,1.505812561e-05,1.415463807e-05,93.5081153,141,0.8529876667,-14.70123333
142,1.610354947e-05,60222.29754,1.660514528e-05,1.611413165e-05,1.506801161e-05,1.416393092e-05,93.5080583,142,0.852984462,-14.7015538
